,ident,type,name,latitude_deg,longitude_deg,iata_code,state,county
234,KSYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,SYR,New York,Onondaga
235,KTCC,medium_airport,Tucumcari Municipal Airport,35.182800293,-103.602996826,TCC,New Mexico,Quay
236,KTCL,medium_airport,Tuscaloosa Regional Airport,33.220600128174,-87.611396789551,TCL,Alabama,Tuscaloosa
237,KTCS,medium_airport,Truth or Consequences Municipal Airport,33.2369,-107.272003,TCS,New Mexico,Sierra
238,KTEB,medium_airport,Teterboro Airport,40.85010147089999,-74.060798645,TEB,New Jersey,Bergen
239,KTMB,medium_airport,Miami Executive Airport,25.6479,-80.4328,TMB,Florida,Miami-Dade
240,KTOI,medium_airport,Troy Municipal Airport at N Kenneth Campbell Field,31.860399,-86.012101,TOI,Alabama,Pike
241,KTOP,medium_airport,Philip Billard Municipal Airport,39.069899,-95.622606,TOP,Kansas,Shawnee
242,KTPH,medium_airport,Tonopah Airport,38.06019974,-117.086998,TPH,Nevada,Nye
243,KTRM,medium_airport,Jacqueline Cochran Regional Airport,33.62670135498,-116.16000366211,TRM,California,Riverside
244,KTTD,medium_airport,Portland Troutdale Airport,45.54940032959,-122.40100097656,TTD,Oregon,Multnomah
245,KTUS,medium_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,TUS,Arizona,Pima
246,KUKI,medium_airport,Ukiah Municipal Airport,39.125999450684,-123.20099639893,UKI,California,Mendocino
247,KUNV,medium_airport,University Park Airport,40.849374,-77.84852,SCE,Pennsylvania,Centre
248,KUOX,medium_airport,University Oxford Airport,34.384300231934,-89.536796569824,UOX,Mississippi,Lafayette
249,KVGT,medium_airport,North Las Vegas Metropolitan International Airport,36.210701,-115.194,VGT,Nevada,Clark
250,KVPS,medium_airport,Destin-Fort Walton Beach Airport,30.4832,-86.525398,VPS,Florida,Okaloosa
251,KVPZ,medium_airport,Porter County Municipal Airport,41.45399857,-87.00710297,VPZ,Indiana,Porter
252,KVRB,medium_airport,Vero Beach Regional Airport,27.6556,-80.417901,VRB,Florida,Indian River
253,KWWR,medium_airport,West Woodward Airport,36.438,-99.5226667,WWR,Oklahoma,Woodward
254,KXNA,medium_airport,Northwest Arkansas Regional Airport,36.281898,-94.306801,XNA,Arkansas,Benton
255,KYKN,medium_airport,Chan Gurney Municipal Airport,42.916698455811,-97.385902404785,YKN,South Dakota,Yankton
256,PHJR,medium_airport,Kalaeloa Airport,21.3074,-158.070009,JRF,Hawaii,Honolulu
257,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,HNL,Hawaii,Honolulu
258,US-0571,medium_airport,Williston Basin International Airport,48.258387,-103.748797,XWA,North Dakota,Williams
